FECHA_ANOTACION;VALOR;DESTINO_ECONOMICO;AREA_TERRENO;AREA_CONSTRUIDA;AVALUO; HAB; BAÑOS; LOCAL; PISOS;MAX_PUNT;POINT_X;POINT_Y;Latitud;Longitud;Latitud.1;Longitud.1;UTM waypoint Garmin;DISTANCIA - CBD (San Pio) metros;Estrato/Hacienda
2021-03-31 00:00:00;112253655;A;000000000007;000034;65561000;3;2;0;10;71;1372980.4139;10794750.1914;7.122313493614941;-73.11850900033905;"-7º -7' -20,329"" S";"73º 7' 6,632"" W";17 N 1372980 10794750;980.963227389;4
2022-03-28 00:00:00;239912999;A;000000000015;000080;160089000;3;2;0;10;73;1372974.2103;10794753.5989;7.122344978601027;-73.11856412232504;"-7º -7' -20,442"" S";"73º 7' 6,831"" W";17 N 1372974 10794754;988.016843037;4
2021-10-13 00:00:00;146654644;A;000000000006;000033;63002000;3;2;0;10;71;1372983.2184;10794741.5729;7.122235841315739;-73.1184851708833;"-7º -7' -20,049"" S";"73º 7' 6,547"" W";17 N 1372983 10794742;974.916496478;4
2021-08-12 00:00:00;257854319;A;000000000115;000029;150989000;0;1;0;1;31;1372853.9458;10794785.3598;7.122648049182737;-73.11963801384873;"-7º -7' -21,533"" S";"73º 7' 10,697"" W";17 N 1372854 10794785;1110.96345995;3
2022-08-02 00:00:00;219050999;A;000000000119;000171;217550000;2;1;0;1;31;1372591.0168;10795019.6287;7.124787522770772;-73.12196045361884;"-7º -7' -29,235"" S";"73º 7' 19,058"" W";17 N 1372591 10795020;1448.96718732;3
2022-01-24 00:00:00;406808999;A;000000000224;000203;397942000;3;2;2;1;40;1372698.5535;10794645.6275;7.121419947184429;-73.12105340782793;"-7º -7' -17,112"" S";"73º 7' 15,792"" W";17 N 1372699 10794646;1214.18983401;4
2022-12-13 00:00:00;425584799;A;000000000227;000153;425105000;0;0;0;0;26;1372569.9172;10794676.434;7.1217157467482135;-73.1222025488993;"-7º -7' -18,177"" S";"73º 7' 19,929"" W";17 N 1372570 10794676;1346.45741065;4
2022-10-21 00:00:00;542412000;K;000000000296;000297;541392000;0;2;1;1;30;1373107.1818;10794450.7684;7.119611199884557;-73.11741798909132;"-7º -7' -10,6"" S";"73º 7' 2,705"" W";17 N 1373107 10794451;775.700060083;4
2022-08-31 00:00:00;432886499;A;000000000179;000168;432554000;0;2;1;2;54;1372996.986;10794445.3964;7.119580009916206;-73.11840727178159;"-7º -7' -10,488"" S";"73º 7' 6,266"" W";17 N 1372997 10794445;884.501760708;4
2022-10-04 00:00:00;500687999;J;000000000425;000416;464596000;0;0;1;1;42;1373037.282;10794472.0208;7.119812366639526;-73.11804171824772;"-7º -7' -11,325"" S";"73º 7' 4,95"" W";17 N 1373037 10794472;847.840735485;4
